Country,Year,FAO_Area,FAO_Species_Code,FAO_Species_Name,Species scientific name,Landings
BEL,1907,IV,WIT,Witch flounder,Glyptocephalus cynoglossus,
BEL,1907,Va,BLL,Brill,Scophthalmus rhombus,
BEL,1907,Va,COD,Atlantic cod,Gadus morhua,442
BEL,1907,Va,COE,European conger,Conger conger,
BEL,1907,Va,DAB,Common dab,Limanda limanda,19
BEL,1907,Va,DGZ,Dogfishes nei,Squalus spp,
BEL,1907,Va,FIN,Finfishes nei,Osteichthyes,
BEL,1907,Va,FLE,European flounder,Platichthys flesus,
BEL,1907,Va,GUX,"Gurnards, searobins nei",Triglidae,
BEL,1907,Va,HAD,Haddock,Melanogrammus aeglefinus,289
BEL,1907,Va,HAL,Atlantic halibut,Hippoglossus hippoglossus,1
BEL,1907,Va,HER,Atlantic herring,Clupea harengus,
BEL,1907,Va,HKE,European hake,Merluccius merluccius,
BEL,1907,Va,HOM,Atlantic horse mackerel,Trachurus trachurus,1
BEL,1907,Va,JOD,John dory,Zeus faber,
BEL,1907,Va,LEM,Lemon sole,Microstomus kitt,7
BEL,1907,Va,LIN,Ling,Molva molva,135
BEL,1907,Va,MAC,Atlantic mackerel,Scomber scombrus,
BEL,1907,Va,MON,Angler(=Monk),Lophius piscatorius,
BEL,1907,Va,MUR,Surmullet,Mullus surmuletus,
BEL,1907,Va,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,10
BEL,1907,Va,PLE,European plaice,Pleuronectes platessa,19
BEL,1907,Va,POK,Saithe(=Pollock),Pollachius virens,141
